look_up.card_id,look_up.member_id,look_up.member_joining_dt,look_up.card_purchase_dt,look_up.country,look_up.city,look_up.ucl,look_up.postcode,look_up.transaction_dt,look_up.score
344143554194093,605980287528081,2016-07-03 01:16:26.0,07/16,United States,Savage,1.48765261182571E7,58580,31-01-2017 18:00:30,301
344209859893876,145224809882579,2012-06-05 01:24:25.0,04/15,United States,Trenton,1.1725192752902132E7,13774,30-11-2017 01:53:46,570
344250415187512,787250659693155,2013-01-10 02:44:57.0,02/15,United States,Walnut Park,1.241753028670394E7,12201,31-01-2017 18:00:29,385
344261255055849,255246229177887,2013-10-12 01:36:31.0,08/16,United States,Hopatcong,1.1824865588095171E7,15683,30-05-2017 21:52:41,269
344383976541266,206984342997006,2010-07-03 08:50:22.0,12/13,United States,Meridian,1.5107789048137851E7,30833,30-01-2017 13:55:07,398
344402144417599,920759851362201,2016-11-29 02:10:14.0,05/17,United States,Mount Lebanon,1.191772288293863E7,76831,31-05-2017 22:27:23,284
344453305077666,749474155127516,2015-10-11 03:31:54.0,08/16,United States,Collierville,1.4788475913846452E7,66712,26-09-2016 23:33:23,465
344490156298215,902855626433596,2016-07-07 10:39:14.0,07/16,United States,Elmira,8825396.489010695,17840,29-10-2016 21:34:32,445
344544208972277,830523253190100,2012-08-01 09:06:29.0,01/16,United States,Lutz,9874802.493345788,71922,30-12-2017 08:42:50,367
344583480345238,667772346348129,2013-10-27 01:47:23.0,11/16,United States,Wasco,1.5478635149735296E7,73531,31-01-2018 11:25:17,575
344713754834914,647280028167248,2017-06-23 10:58:13.0,06/17,United States,Jenison,1.4939683190119676E7,48432,30-10-2017 19:04:42,365
344770738264186,553366230232887,2016-10-19 05:30:00.0,03/17,United States,Sebastian,1.3718296342690235E7,83324,31-01-2018 09:39:56,409
344827223085982,310558899794750,2012-10-20 00:34:19.0,11/12,United States,Hot Springs,1.2495654016212389E7,73459,24-12-2016 01:17:48,403
344997383137673,767099457661258,2017-02-17 00:13:50.0,06/17,United States,Aloha,1.4273264940250764E7,39360,31-10-2017 02:06:02,249
345006580195330,819397358209255,2013-10-21 11:23:20.0,02/14,United States,Central Islip,1.206179265079612E7,44646,26-11-2016 04:24:50,467
345027679564944,808853092206668,2012-03-04 08:08:37.0,09/15,United States,Ada,9617420.819456398,16616,31-10-2017 09:07:23,502
345077775078680,400051274489055,2011-11-19 01:39:20.0,02/12,United States,Tulsa,1.3421169060962582E7,56751,31-07-2016 02:52:41,567
345082162474452,335452580549855,2014-07-03 08:07:40.0,10/16,United States,Egypt Lake-Leto,1.5706994895792931E7,73455,31-08-2017 10:42:35,286
345082216803859,414805344214663,2015-09-26 08:23:47.0,12/15,United States,Woodland Hills,1.424242885419809E7,50236,30-11-2017 03:39:06,700
345140945581726,127329474809762,2013-01-09 12:27:19.0,01/14,United States,Washington,1.4690784990691703E7,65680,31-10-2016 15:42:36,401
345158301963131,614325994676300,2012-01-22 05:01:04.0,01/14,United States,Kingman,1.201649857828868E7,70760,30-10-2017 13:48:42,305
345245362189127,352966365887131,2015-02-03 09:54:07.0,07/17,United States,Altadena,1.2307155180286352E7,26621,31-12-2017 07:32:12,251
345261664350609,520311462044918,2016-06-25 00:48:13.0,03/17,United States,North La Crosse,1.104245548427242E7,77617,28-11-2017 20:03:02,551
345406224887566,296206661780881,2011-01-16 04:39:15.0,11/12,United States,Clemmons,1.5319411853988074E7,18249,30-12-2016 04:46:01,349
345419819846363,515357557427100,2016-10-04 04:58:15.0,10/16,United States,Urbana,1.4064473318557978E7,96710,28-11-2016 09:04:54,301
345498289160361,948048144776499,2010-09-20 01:33:32.0,01/15,United States,Pasadena,1.2586162863064736E7,13614,29-12-2016 19:59:20,596
345545562194266,952317620105523,2010-11-22 03:54:55.0,11/17,United States,Orangevale,1.2118946536580844E7,91301,31-01-2018 13:10:37,408
345599472667975,800047508333692,2011-03-10 07:07:39.0,11/15,United States,Frankfort,1.512385706925276E7,44028,31-12-2016 03:35:23,332
345789731252528,628859929501350,2010-05-22 04:00:11.0,05/15,United States,Dinuba,1.3374414046814367E7,59219,31-07-2016 20:26:03,451
345864096406128,246259923541675,2016-08-20 12:05:26.0,11/17,United States,Lexington,1.5270729262684602E7,64848,30-12-2017 17:29:30,677
345876265017055,823026992379988,2014-08-15 08:40:03.0,04/15,United States,North Bellmore,1.2520099497567153E7,67518,30-08-2016 20:13:46,369
345925144288000,739092283753014,2010-03-29 12:03:30.0,03/17,United States,North Amityville,1.053403962341151E7,58325,30-08-2017 04:51:53,501
345949260434768,317939112617073,2011-02-05 09:01:07.0,09/14,United States,Chalmette,1.3660027381555097E7,18951,31-08-2016 08:31:06,485
345969858843082,035217612427824,2014-06-17 08:10:53.0,10/16,United States,DeSoto,1.2523158935482578E7,48192,31-01-2017 16:15:09,587
346001716915984,635528765708111,2012-08-23 01:50:21.0,02/14,United States,Smyrna,1.3103184154327601E7,14052,31-03-2016 23:36:26,364
346071750538869,682775097079700,2014-01-09 03:22:06.0,02/15,United States,Albuquerque,1.1899619896232076E7,66773,31-12-2016 15:52:44,648
346119019394205,443551645061859,2015-10-06 05:37:34.0,01/16,United States,Carrboro,1.1615232247410366E7,57269,30-12-2017 12:13:29,423
346191575038236,046077978771675,2016-02-25 12:26:25.0,10/17,United States,Manchester,1.5091001645673342E7,45657,31-10-2017 23:10:05,440
346375938531281,785748283648143,2013-02-10 07:11:07.0,07/17,United States,Cocoa,1.563488245830838E7,95689,31-10-2017 19:39:24,463
346417268270064,417869724052281,2012-07-03 12:51:32.0,08/16,United States,Wilmette,1.1550959766373597E7,16922,23-10-2017 22:03:08,504
346600847616797,693976117171027,2012-03-12 03:14:03.0,01/13,United States,Auburn,1.0250281559219848E7,99625,30-06-2016 21:48:58,610
346618652451637,540752175696215,2011-09-13 11:21:49.0,03/16,United States,Yuma,1.3681876899412425E7,54745,31-01-2017 10:59:09,205
346705343409319,411769208648761,2012-09-03 01:21:15.0,01/14,United States,Burlingame,1.5641177360370673E7,92389,30-01-2018 05:34:34,207
346723578776723,351607869287639,2010-06-27 10:00:29.0,08/14,United States,Medford,1.2041059972566452E7,25438,30-11-2017 17:41:47,559
346829826446934,872862304291422,2010-02-02 11:01:18.0,07/16,United States,Long Island City,1.2846747979525443E7,57783,29-10-2016 05:46:30,451
347051350857346,548033330364119,2017-06-03 05:48:30.0,11/17,United States,Athens,1.5413679017839815E7,92267,31-12-2017 12:48:12,228
347110035412723,721905765830516,2014-02-25 09:12:36.0,07/16,United States,Fond du Lac,1.5562416713474408E7,77967,29-01-2018 10:15:52,582
347128485339604,194304990519689,2014-01-26 11:41:40.0,09/15,United States,Westfield,7162412.066767317,96013,25-06-2017 15:50:55,264
347177017703006,672463098512868,2017-09-15 08:06:45.0,10/17,United States,Statesboro,1.4915139956228636E7,12409,30-12-2017 12:13:30,553
347269341929980,545557912057292,2010-05-29 12:55:34.0,08/12,United States,Carteret,1.3476434909084078E7,43351,29-10-2017 11:28:39,266
347274385563543,359453922401698,2013-05-06 08:06:18.0,11/15,United States,West Lafayette,1.6450657117760833E7,89018,31-12-2017 07:32:12,414
347361606702352,270322592246125,2012-01-30 12:56:00.0,08/12,United States,Kaysville,1.0213170121908834E7,46555,31-12-2017 16:18:52,378
347364295787224,455899712765790,2017-10-09 02:01:09.0,10/17,United States,Placentia,8408635.777224028,62018,31-10-2017 19:39:24,518
347370191043478,392663890279884,2016-10-22 05:00:52.0,07/17,United States,Andover,1.366207059958253E7,41839,29-09-2017 22:12:57,394
347403934542566,743428951905411,2014-01-18 10:09:51.0,04/14,United States,North Babylon,1.462330726097847E7,18971,29-11-2017 03:04:24,579
347566265344782,525575661867882,2012-02-10 12:33:25.0,06/12,United States,North Olmsted,1.2601623858755164E7,15085,30-10-2016 11:37:13,552
347697256845386,529269910685569,2014-10-13 00:10:07.0,11/16,United States,Hays,1.4224028165904429E7,18331,31-08-2017 15:58:35,338
347723528908969,793190430131009,2010-12-21 06:19:27.0,12/16,United States,Balch Springs,1.489834734810456E7,98533,31-03-2017 02:58:33,267
347736616723522,651777188480086,2017-10-28 12:34:34.0,11/17,United States,Stockbridge,1.3896501257240362E7,79847,27-11-2017 15:57:41,356
347742182023365,314941295913844,2011-07-31 10:30:21.0,04/13,United States,North Miami,1.3651846388848133E7,99925,25-09-2016 12:26:40,622
347816334672492,314841462077900,2014-10-14 05:47:58.0,12/15,United States,Jacksonville Beach,1.4691279845218241E7,78050,31-08-2016 19:03:07,599
347893423075811,055667449016687,2012-08-21 11:12:07.0,02/15,United States,Millbrae,1.293669110328884E7,19475,31-05-2017 18:56:42,429
348157024306041,045533944384107,2011-03-10 05:56:01.0,10/14,United States,Barrington,1.6162224264040448E7,59324,29-05-2017 00:13:56,622
348165176221648,043087872710430,2010-04-22 02:38:10.0,10/17,United States,Chicopee,1.4580595542890027E7,85236,30-10-2017 10:18:01,622
348176004451908,941781899168604,2012-06-16 12:07:11.0,05/17,United States,Malden,1.1149372995979E7,59318,31-05-2017 06:39:21,525
348190804567030,824326278451096,2017-07-12 00:57:33.0,07/17,United States,Agoura Hills,1.3094075366327304E7,23089,30-12-2017 15:44:10,212
348235257615511,088196606898536,2012-07-19 00:21:46.0,05/16,United States,Lakeville,1.1761024882969126E7,95469,29-05-2017 14:16:38,557
348390084708787,378592522738268,2017-02-27 08:59:39.0,05/17,United States,Pontiac,1.3344201628939664E7,28571,31-12-2017 00:30:51,507
348400808911398,842950351922173,2014-04-17 02:13:22.0,06/17,United States,Apache Junction,1.346913387520766E7,70551,31-12-2017 07:32:11,588
348413196172048,001739553947511,2017-02-15 11:11:19.0,07/17,United States,East Independence,1.3830383201749334E7,46780,29-12-2017 18:40:08,642
348518253481519,266788079703744,2016-01-21 09:31:37.0,03/16,United States,SeaTac,1.5334868446129194E7,37391,30-12-2016 11:47:22,644
348535611438049,608986996820125,2013-02-25 00:50:31.0,11/15,United States,Temecula,8869575.409599857,73750,18-11-2017 17:46:41,205
348536585266345,003761426295463,2013-12-07 04:17:03.0,11/15,United States,Dover,1.1733754786108457E7,42355,29-02-2016 10:56:40,413
348546826126582,724277354877034,2015-06-09 12:36:13.0,10/15,United States,Northridge,1.1916269102394711E7,22948,30-07-2016 12:49:59,286
348684315090900,293516519272933,2016-04-03 01:29:26.0,04/16,United States,Bloomingdale,1.0335401969720043E7,74741,31-03-2017 08:14:32,260
348701439056464,646435961115746,2015-04-22 04:52:20.0,05/15,United States,Moses Lake,1.2931852556407925E7,62825,30-12-2016 22:19:22,685
348702330256514,000037495066290,2018-01-19 06:38:43.0,02/18,United States,Avon Center,1.3437294944937678E7,33946,11-02-2018 00:00:00,339
348818434931000,927655932995075,2016-01-02 12:23:51.0,07/16,United States,Sidney,1.3597544296096558E7,51045,30-08-2016 11:27:05,282
348890647161465,320864375768815,2014-11-20 12:33:15.0,02/17,United States,Paso Robles,1.5499022240469653E7,63533,31-05-2017 01:23:21,293
348962542187595,366246487993992,2017-01-31 12:00:03.0,02/17,United States,Norton Shores,7.381007047176828E8,78932,29-11-2017 10:05:45,522
349000329241977,043358801032343,2014-03-25 03:39:13.0,06/17,United States,Perth Amboy,1.3351459749143556E7,27966,24-08-2017 04:54:20,358
349076799101265,636168850404299,2017-03-31 08:05:18.0,04/17,United States,Lodi,1.4263776891231328E7,24631,30-09-2017 05:14:18,231
349081750252918,735404239304607,2016-07-24 03:11:39.0,12/16,United States,Niles,1.1790375163239734E7,56442,31-08-2017 19:29:16,500
349143706735646,343824445342591,2015-12-25 12:18:50.0,05/17,United States,Ashland,1.1978091605075965E7,34215,29-11-2017 22:23:06,298
349150311183125,600428624962185,2011-01-18 10:49:20.0,08/13,United States,Dothan,1.1910284110435378E7,30581,29-02-2016 21:28:41,224
349186222855183,569606889200235,2016-01-18 11:26:29.0,08/16,United States,Elmwood Park,1.3297399896373214E7,75772,30-09-2016 04:48:10,612
349237491603133,159613236312962,2015-07-18 09:35:12.0,06/16,United States,The Hammocks,1.6741282834467322E7,70444,30-04-2017 11:32:56,261
349254330876970,175914389419795,2011-03-01 06:37:24.0,11/16,United States,North Hollywood,1.45621945841433E7,17853,31-07-2017 06:49:29,486
349261557797449,158070916525956,2016-07-11 03:33:19.0,10/16,United States,Selma,1.4713077814088998E7,47369,30-01-2018 21:22:35,339
349296639004201,272633271065390,2011-03-02 07:55:36.0,06/15,United States,Winchester,1.5630663587973638E7,86016,30-11-2016 01:27:38,529
349612084165104,384871120986572,2012-01-08 10:37:41.0,05/12,United States,Delaware,9129418.519637436,11729,30-09-2017 01:43:37,342
349805666286145,991958482478439,2015-01-09 10:43:02.0,08/15,United States,Parker,1.2455864661489125E7,28777,31-03-2017 06:29:13,215
349853936122178,967492654630723,2014-05-12 11:16:21.0,02/17,United States,Moses Lake,1.3981006909886593E7,99901,30-10-2017 13:48:42,679
349880127547980,239011426186064,2011-05-27 06:20:20.0,09/16,United States,Ansonia,9429344.806178384,14756,27-07-2017 09:46:41,404
349996104851677,078360584449296,2013-12-29 10:26:00.0,04/14,United States,East Ridge,1.3927315236148415E7,31635,31-01-2017 02:12:29,603
370422335609431,429193399800529,2011-05-04 06:47:12.0,05/12,United States,Oak Ridge,1.2392650646363044E7,36043,31-10-2017 05:36:43,211
370582035866789,433646648625434,2011-10-29 02:45:55.0,06/16,United States,Tinley Park,1.420869293450943E7,12974,30-11-2017 05:24:26,313
370628435959605,100655658028368,2017-12-14 08:56:09.0,12/17,United States,Carson City,1.5002486807540081E7,19540,31-12-2017 21:34:53,365
370629034565111,443364325037992,2011-06-07 09:20:58.0,12/12,United States,Silver Firs,1.3753089450013164E7,36069,29-08-2016 16:08:24,458
370702300939151,940234459440812,2011-12-16 04:24:37.0,02/16,United States,Allentown,1.4196671996384814E7,11959,31-08-2017 07:11:55,337
370721155581754,587639056327573,2013-10-15 08:39:32.0,10/15,United States,New Castle,1.2473014501181528E7,29437,30-06-2016 06:00:56,570
370879584654784,113717197565693,2010-03-24 10:30:32.0,01/16,United States,Ferndale,1.5189719995102756E7,12769,29-07-2016 12:15:18,635
370885717004636,855807702046285,2015-09-23 00:50:16.0,12/16,United States,Aliso Viejo,1.1868136655448545E7,81089,31-03-2017 18:46:34,606
371083100098694,965245580810214,2017-07-26 05:08:45.0,08/17,United States,North Little Rock,1.5243156451660646E7,18240,31-10-2017 21:24:44,305
371084325684552,326158703846139,2015-12-07 04:37:42.0,01/17,United States,Golden Gate,1.6741158697179046E7,37121,30-09-2017 06:59:38,205
371085417506954,376195488976103,2016-04-29 07:08:41.0,05/16,United States,Shawnee,9199359.057752836,11733,31-08-2017 03:41:15,599
371218477158904,556410949516301,2017-05-10 12:44:33.0,05/17,United States,Tillmans Corner,1.534098724191067E7,43523,31-10-2017 17:54:04,354
371224213544891,903526073147021,2012-04-23 01:13:22.0,02/17,United States,Derry,1.3159180607786741E7,85140,30-06-2017 06:27:04,122
371618511912743,451756543458677,2014-07-23 10:22:18.0,12/15,United States,Wantagh,1.3017143608274192E7,12972,30-08-2016 04:25:45,289
371691542552208,620584788818914,2011-03-07 00:38:20.0,02/13,United States,Daphne,1.304506677940923E7,57216,27-08-2017 01:22:26,205
371814781663843,009136568025042,2013-08-11 03:53:51.0,11/13,United States,Southchase,1.2409920730010983E7,52203,31-12-2017 07:32:12,308
371829395919892,140317824743576,2017-12-25 09:38:28.0,01/18,United States,Deerfield,1.3377966948166342E7,33421,30-01-2018 09:05:15,275
371898441547435,917931847489584,2015-09-21 11:37:39.0,12/15,United States,North Aurora,1.4051064817992296E7,99630,29-09-2017 01:08:55,504
372054744798748,322180182246813,2012-06-15 00:05:23.0,09/15,United States,Johnston,1.519680123627347E7,55782,27-09-2017 07:00:52,277
372058622871109,776634499506713,2011-10-04 08:42:27.0,08/16,United States,Anthem,1.2991335829369951E7,94941,28-10-2017 00:21:56,359
372141480922912,232105983494456,2017-11-29 04:10:25.0,12/17,United States,Ferndale,1.2817290812319975E7,38041,31-01-2018 20:11:58,335
372183631158095,344443443583077,2011-02-17 01:01:07.0,10/17,United States,Bremerton,1.3027036084668953E7,46380,26-11-2017 11:52:18,519
372241417069532,510599965029232,2011-12-17 08:36:37.0,09/12,United States,Bensenville,1.5196577801377695E7,29682,30-08-2017 03:06:33,435
372336918813721,064090191685558,2013-07-07 08:49:20.0,11/13,United States,Union Hill-Novelty Hill,1.1571687059804574E7,17040,31-03-2016 06:03:05,637
372347439772378,028632455787521,2011-02-24 04:24:28.0,09/16,United States,Winona,1.2614110105193585E7,44636,28-07-2017 10:21:24,636
372367382019172,483278526851211,2015-02-20 13:00:44.0,10/15,United States,Smyrna,8685263.3240818,78962,31-01-2017 09:13:49,680
372421833019999,850367050453072,2012-11-07 01:30:43.0,11/15,United States,South Bel Air,1.1883694402163314E7,27924,29-04-2017 16:14:15,669
372473469966484,781307600087964,2011-07-08 01:47:46.0,11/11,United States,Shelby,1.3348272846385807E7,16911,28-11-2017 04:15:01,416
372506852785436,537438416233265,2012-08-28 00:50:17.0,04/13,United States,Pinecrest,1.1123354667757377E7,25102,29-10-2016 07:31:51,545
372686692947647,920781638107433,2017-08-18 08:32:46.0,10/17,United States,Deer Park,1.124524850006567E7,73729,31-10-2017 02:06:03,517
372761911834379,745004210640465,2017-10-02 12:52:29.0,10/17,United States,Hobart,1.38277846152251E7,89021,30-10-2017 03:16:41,583
372805987499499,321878340393691,2013-05-13 01:16:17.0,02/14,United States,Grafton,1.189213166008586E7,67056,31-03-2017 18:46:34,377
372814055224156,051664786198491,2015-04-28 00:36:27.0,09/17,United States,Tallahassee,1.2118795248921668E7,13641,30-09-2017 03:28:58,608
372836467968905,713341274626075,2013-08-02 05:23:51.0,01/16,United States,San Tan Valley,1.454019530623469E7,92650,31-10-2017 09:07:23,483
372838963275954,019834203768714,2011-04-21 11:06:50.0,06/16,United States,Kuna,1.1381507944488194E7,81656,29-12-2016 05:56:39,670
372925786065494,460281502410884,2018-01-10 05:36:36.0,01/18,United States,Lealman,1.4041771812325213E7,32131,30-01-2018 14:21:15,264
373010392563786,555434352919196,2017-01-05 08:24:52.0,01/17,United States,Baltimore,1.4546819422372295E7,91351,30-12-2017 22:45:31,456
373151716385585,522247902253848,2017-05-06 10:01:21.0,05/17,United States,Oak Harbor,1.152975396291386E7,61880,30-11-2017 19:27:07,387
373228713895619,538235310276227,2014-10-24 06:51:14.0,10/17,United States,Huntington,1.5091694793548794E7,56542,30-12-2017 06:57:29,602
373290715094723,766645301621495,2013-08-03 03:24:30.0,07/15,United States,Ashtabula,1.0709243261993777E7,84645,31-05-2017 18:56:42,364
373320949356351,179258479043736,2016-07-25 00:28:48.0,09/17,United States,New York City,1.3347308867830925E7,49862,29-12-2017 08:08:07,502
373392918838641,491669340987836,2011-03-07 06:49:36.0,09/16,United States,Valrico,1.3711269093536993E7,45387,30-01-2017 19:11:08,403
373612925758575,039274695228076,2010-06-15 05:15:46.0,03/16,United States,Superior,1.4417096503882458E7,66713,28-08-2016 01:31:00,270
373617064497930,966926281506573,2012-10-15 12:50:05.0,10/15,United States,Avocado Heights,1.244494063644532E7,41204,31-05-2017 03:08:41,413
373684651927585,028379321561729,2013-02-05 05:29:02.0,08/17,United States,Berkeley,1.2057702440574992E7,96910,29-11-2017 22:23:05,507
373748808330229,839493393060545,2013-12-26 12:06:07.0,01/14,United States,Lacey,1.2980036581838638E7,49791,31-10-2017 10:52:43,685
373848247566260,099616648121654,2016-08-03 01:27:34.0,11/16,United States,Woburn,1.1929918013162654E7,19478,30-12-2016 18:48:42,661
373862770187010,599079421916496,2015-06-08 01:58:38.0,08/16,United States,Marquette,1.1986392715076657E7,70395,29-09-2016 18:16:09,645
373866218194240,452270727911339,2012-07-08 04:32:20.0,02/14,United States,Auburn,1.3900114116856024E7,38575,31-03-2016 06:03:04,351
373985910177356,200057082465017,2013-10-22 02:26:59.0,04/17,United States,Fort Walton Beach,1.6161047272270516E7,99154,30-01-2018 05:34:34,255
374169325578072,534155264791531,2013-09-17 01:29:08.0,03/16,United States,Modesto,1.3868745877105463E7,78861,31-10-2017 07:22:03,317
374174065094615,106536356202774,2015-07-17 05:03:51.0,06/17,United States,Miamisburg,1.2457015333511991E7,49283,31-01-2018 18:26:38,399
